video_id,author,text,text_clean,sentimen,aspek,like_count,published_at
0BRFlBVWH3c,@asshanumislamvideo3105,"11:00 BEGITU MULIA BAPAK...😢
Wajah Murid-murid yang nampak semangat belajar. ❤

NEGARA INI BENER-BENER DZALIM. 😢",mulia bapak wajah murid murid nampak semangat ajar negara benar benar dzalim,positif,guru_sekolah,0,2026-04-20T01:05:30Z
0BRFlBVWH3c,@SafariFantasy,Masa jambu biji mentah.pisang mentah suruh makan siapa yang mau,masa jambu biji mentah pisang mentah suruh makan siapa mau,negatif,kualitas_makanan,0,2026-04-19T15:48:58Z
0BRFlBVWH3c,@SafariFantasy,Dari adanya mbg yang kurang bagus penyajian dan perhatikan gizi semaunya bikin makanan bikin koplak muter otak gimana mau cerdas anak adanya ya begitu adanya,ada makan gizi gratis kurang bagus saji perhati gizi mau bikin makan bikin tidak masuk akal muter otak bagaimana mau cerdas anak ada ada,negatif,kualitas_makanan,0,2026-04-19T15:47:48Z
0BRFlBVWH3c,@jotinambunan2267,"mbg: makanan bergizi gratis
mgb: memb*n*h generasi bangsa",makan gizi gratis makan gizi gratis makan gizi gratis memb generasi bangsa,positif,kualitas_makanan,0,2026-04-19T14:17:22Z
0BRFlBVWH3c,@mellaaputri,Sepanjang nntn istighfar yaallah 😥,panjang nonton istighfar yaallah,netral,umum,0,2026-04-19T01:11:52Z
0BRFlBVWH3c,@katourang5073,Makannya Gratis biaya obatnya sih tanggung masing masing,makan gratis biaya obat tanggung masing masing,positif,anggaran,0,2026-04-19T00:51:26Z
0BRFlBVWH3c,@Tm1998_,Prabowo nonton ginian gak si 😢,presiden prabowo nonton ginian tidak si,negatif,program,0,2026-04-18T16:28:33Z
0BRFlBVWH3c,@NoeAink-b2z,"Tutup permanen
Se 77777777
Rakyat 
Hemat anggaran 
Utk pendidikan aja",tutup permanen se rakyat hemat anggar didik,negatif,anggaran,0,2026-04-18T14:55:46Z
0BRFlBVWH3c,@Petirlalang,WOWO PARAHH WOWO PARAH,prabowo parahh prabowo buruk,negatif,umum,0,2026-04-18T01:35:44Z
0BRFlBVWH3c,@S_Aji_C,knp g viral 🤔🤔,knp tidak viral,negatif,umum,0,2026-04-17T12:17:01Z
0BRFlBVWH3c,@anonimanonimous9880,"kalau dinegri konoha kepala BGN kayak gini sudah dirujak atau di giling dibuat tissu khusuus untuk cebok, ato kantong buat tempat muntahan di kendaraan umum.",kalau dinegri konoha kepala badan gizi nasional begini rujak giling buat tissu khusuus cebok ato kantong tempat muntah kendara umum,netral,kualitas_makanan,0,2026-04-16T10:06:21Z
