video_id,author,text,text_clean,sentimen,aspek,like_count,published_at
0BRFlBVWH3c,@asshanumislamvideo3105,"11:00 BEGITU MULIA BAPAK...😢
Wajah Murid-murid yang nampak semangat belajar. ❤

NEGARA INI BENER-BENER DZALIM. 😢",mulia wajah murid murid nampak semangat ajar negara dzalim,positif,guru_sekolah,0,2026-04-20T01:05:30Z
0BRFlBVWH3c,@SafariFantasy,Masa jambu biji mentah.pisang mentah suruh makan siapa yang mau,jambu biji mentah pisang mentah suruh makan,negatif,kualitas_makanan,0,2026-04-19T15:48:58Z
0BRFlBVWH3c,@SafariFantasy,Dari adanya mbg yang kurang bagus penyajian dan perhatikan gizi semaunya bikin makanan bikin koplak muter otak gimana mau cerdas anak adanya ya begitu adanya,makan gizi gratis kurang bagus saji perhati gizi bikin makan bikin tidak akal muter otak cerdas anak,negatif,kualitas_makanan,0,2026-04-19T15:47:48Z
0BRFlBVWH3c,@jotinambunan2267,"mbg: makanan bergizi gratis
mgb: memb*n*h generasi bangsa",makan gizi gratis makan gizi gratis makan gizi gratis memb generasi bangsa,positif,kualitas_makanan,0,2026-04-19T14:17:22Z
0BRFlBVWH3c,@mellaaputri,Sepanjang nntn istighfar yaallah 😥,nonton istighfar yaallah,netral,umum,0,2026-04-19T01:11:52Z
0BRFlBVWH3c,@katourang5073,Makannya Gratis biaya obatnya sih tanggung masing masing,makan gratis biaya obat tanggung,positif,anggaran,0,2026-04-19T00:51:26Z
0BRFlBVWH3c,@Tm1998_,Prabowo nonton ginian gak si 😢,presiden prabowo nonton ginian tidak si,negatif,program,0,2026-04-18T16:28:33Z
0BRFlBVWH3c,@NoeAink-b2z,"Tutup permanen
Se 77777777
Rakyat 
Hemat anggaran 
Utk pendidikan aja",tutup permanen rakyat hemat anggar didik,negatif,anggaran,0,2026-04-18T14:55:46Z
0BRFlBVWH3c,@Petirlalang,WOWO PARAHH WOWO PARAH,prabowo parahh prabowo buruk,negatif,umum,0,2026-04-18T01:35:44Z
0BRFlBVWH3c,@S_Aji_C,knp g viral 🤔🤔,knp tidak viral,negatif,umum,0,2026-04-17T12:17:01Z
0BRFlBVWH3c,@anonimanonimous9880,"kalau dinegri konoha kepala BGN kayak gini sudah dirujak atau di giling dibuat tissu khusuus untuk cebok, ato kantong buat tempat muntahan di kendaraan umum.",dinegri konoha kepala badan gizi nasional rujak giling tissu khusuus cebok ato kantong muntah kendara umum,netral,kualitas_makanan,0,2026-04-16T10:06:21Z
0BRFlBVWH3c,@WawanKurniawan-u6k,Ganti presiden malah tambah parah indonesia...jokowi dan prabowo sama sama penjahat di negri sendiri....,ganti presiden buruk indonesia mantan presiden jokowi presiden prabowo jahat negri,negatif,program,0,2026-04-15T21:04:22Z
0BRFlBVWH3c,@putrahastinapura4248,Mbg ttp lanjut.... Kau bisa apa,makan gizi gratis ttp kau,positif,kualitas_makanan,0,2026-04-15T01:46:03Z
0BRFlBVWH3c,@harryapujasman,Dan semua aksi yg terjadi ini tdk di gubris sama sekali oleh pemerintah😢😢😢,aksi tidak gubris perintah,negatif,umum,0,2026-04-14T13:27:59Z
0BRFlBVWH3c,@ariestps9715,program MBG perlu kebijaksanaan yg ARIF BIJAKSANA dg mensejahterakan dg cara menambah GAJI GURU HONORER....!!!!  JANGAN OMON OMON berfikir MAJU DG PROGRAM MBG tetapi GURUNYA JAUH DARI LAYAK !!!  OMON OMON THOK....,program makan gizi gratis bijaksana arif bijaksana sejahtera tambah gaji guru honorer jangan omon omon berfikir maju program makan gizi gratis guru layak omon omon thok,positif,kualitas_makanan,0,2026-04-14T11:54:53Z
0BRFlBVWH3c,@Naufalghifari24,"""Tinggal tunggu waktu aja"" 

Kata kata yang pas buat keadaan ini . Jika seperti ini terus , maka percayalah Indonesia hanyalah tinggal kenangan , dan pecah menjadi berkeping keping seperti hal nya Uni Soviet",tinggal tunggu waktu pas percaya indonesia tinggal kenang pecah keping keping uni soviet,netral,umum,2,2026-04-14T10:18:33Z
0BRFlBVWH3c,@heedme6023,Asli gw sampe benci negara gw gara2 Pemerintahannya kaya anjing gini yaak,sungguh sampe benci negara gara perintah kaya yaak,negatif,umum,0,2026-04-13T16:31:28Z
